コード,企業名,株価,時価総額（億）,発行済株式数,売上高（百万）,粗利益,営業利益,当期利益,総資産,総負債,純資産,EPS,配当金,配当利回り,PER,益回り,PBR,PBR逆数,ROE,ROA,自己資本比率,ROEx益回りx自己資本,ROE+益回り+自己資本,ROExPBR逆数x自己資本,ROE+PBR逆数+自己資本
1301,極洋,3655,389,10740399,253575,28017,6202,4634,130460,87756,42704,430.79,90.0,2.46,8.48,11.8,0.91,109.89,10.9,3.6,32.7,4206,55.4,39168,153.5
1332,日本水産,600,1861,311236202,693682,111080,21099,17275,505731,315932,189799,55.51,16.0,2.67,10.81,9.3,0.98,102.04,9.1,3.4,37.5,3174,55.9,34821,148.6
1333,マルハニチロ,2480,1283,51759521,866702,120497,22371,16899,548603,388429,160174,321.12,55.0,2.22,7.72,13.0,0.8,125.0,10.6,3.1,29.2,4024,52.8,38690,164.8
1377,サカタのタネ,4850,2142,44347678,69218,38556,9488,7638,133077,21414,111663,276.02,45.0,0.93,17.57,5.7,1.92,52.08,6.8,5.7,83.9,3252,96.4,29713,142.8
1379,ホクト,1947,610,31576882,70932,17392,2000,2530,104933,50424,54509,80.25,60.0,3.08,24.26,4.1,1.12,89.29,4.6,2.4,51.9,979,60.6,21317,145.8
1380,秋川牧園,1070,45,4169123,6639,1709,102,160,5594,3560,2033,38.14,10.0,0.93,28.05,3.6,2.21,45.25,7.9,2.9,36.3,1032,47.8,12976,89.4
1381,アクシーズ,3155,178,5615742,21160,7348,3205,2413,20197,2869,17328,387.83,95.0,3.01,8.14,12.3,1.03,97.09,13.9,11.9,85.8,14669,112.0,115791,196.8
1382,ホーブ,1859,14,761741,3039,647,106,108,975,398,577,189.96,0,0.0,9.79,10.2,2.43,41.15,18.7,11.1,59.2,11292,88.1,45555,119.0
1383,ベルグアース,2740,39,1433774,5372,1331,206,122,5094,4079,1015,55.75,10.0,0.36,49.15,2.0,3.84,26.04,12.0,2.4,19.9,478,33.9,6218,57.9
1384,ホクリヨウ,614,52,8458952,15360,2643,1298,1191,15549,5395,10155,140.82,15.0,2.44,4.36,22.9,0.51,196.08,11.7,7.7,65.3,17496,99.9,149807,273.1
1400,ルーデン・ホールディングス,127,17,13008400,2528,768,-476,-459,3009,676,2332,-37.97,0,0.0,-3.34,-29.9,0.73,136.99,-19.7,-15.3,77.5,45650,27.9,-209149,194.8
1401,エムビーエス,502,40,7632000,3440,998,232,287,3740,1003,2738,42.26,5.0,1.0,11.88,8.4,1.46,68.49,10.5,7.7,73.2,6456,92.1,52641,152.2
1414,ショーボンドホールディングス,5870,3131,53242095,80065,20783,15358,11340,109807,18911,90896,223.66,110.5,1.88,26.25,3.8,3.44,29.07,12.5,10.3,82.8,3933,99.1,30087,124.4
1417,ミライト・ホールディングス,1669,1637,98684464,470385,66216,32805,25163,432683,183447,249236,251.46,60.0,3.59,6.64,15.1,0.66,151.52,10.1,5.8,57.6,8785,82.8,88148,219.2
1418,インターライフホールディングス,163,25,15475849,11794,2696,10,72,7564,3647,3917,14.28,4.0,2.45,11.41,8.8,0.64,156.25,1.8,1.0,51.8,821,62.4,14569,209.9
1419,タマホーム,2462,724,29304299,218092,52220,10210,7169,100216,74075,26141,282.23,125.0,5.08,8.72,11.5,2.77,36.1,27.4,7.2,26.1,8224,65.0,25817,89.6
1420,サンヨーホームズ,711,78,11076012,51123,9308,525,326,46887,31839,15048,29.46,25.0,3.52,24.13,4.1,0.52,192.31,2.2,0.7,32.1,290,38.4,13581,226.6
1429,日本アクア,618,201,32310872,23903,4740,1411,954,18279,10328,7951,35.7,20.0,3.24,17.31,5.8,2.53,39.53,12.0,5.2,43.5,3028,61.3,20635,95.0
1430,ファーストコーポレーション,737,86,11820109,20919,2929,1666,1125,17428,11146,6282,105.75,32.0,4.34,6.97,14.3,1.37,72.99,17.9,6.5,36.0,9215,68.2,47035,126.9
1431,Ｌｉｂ　Ｗｏｒｋ,728,162,22242067,9404,2502,479,337,7605,4233,3372,16.51,6.0,0.82,44.09,2.3,4.8,20.83,10.0,4.4,44.3,1019,56.6,9228,75.1
1433,ベステラ,1180,103,8707565,5967,1357,1883,1468,9020,4667,4353,168.88,20.0,1.69,6.99,14.3,2.37,42.19,33.7,16.3,48.3,23276,96.3,68673,124.2
1434,ＪＥＳＣＯホールディングス,475,32,6719415,9268,1383,560,463,11796,8006,3790,63.43,15.0,3.16,7.49,13.4,0.84,119.05,12.2,3.9,32.1,5248,57.7,46622,163.3
