コード,企業名,株価,時価総額（億）,発行済株式数,売上高（百万）,粗利益,営業利益,当期利益,総資産,総負債,純資産,EPS,配当金,配当利回り,PER,益回り,PBR,PBR逆数,ROE,ROA,自己資本比率,ROEx益回りx自己資本,ROE+益回り+自己資本,ROExPBR逆数x自己資本,ROE+PBR逆数+自己資本
1301,極洋,3835,414,10791400,253575000000.0,28017000000.0,6395000000.0,4634000000.0,130460000000.0,88286000000.0,42704000000.0,429.42,90,2.35,8.93,11.2,0.97,103.09,10.9,3.6,32.7,3992,54.8,36744,146.7
1332,日本水産,569,1771,311236000,693682000000.0,111080000000.0,27077000000.0,17275000000.0,505731000000.0,297134000000.0,189798000000.0,55.5,8,1.41,10.25,9.8,0.93,107.53,9.1,3.4,37.5,3344,56.4,36695,154.1
1333,マルハニチロ,2484,1286,51760500,866702000000.0,120497000000.0,23820000000.0,16898000000.0,548603000000.0,360708000000.0,160174000000.0,326.47,55,2.21,7.61,13.1,0.8,125.0,10.5,3.1,29.2,4016,52.8,38325,164.7
1375,雪国まいたけ,976,389,39870700,47081000000.0,13350000000.0,5196000000.0,2989000000.0,36096000000.0,25626000000.0,10471000000.0,74.97,16,1.64,13.02,7.7,3.72,26.88,28.5,8.3,29.0,6364,65.2,22216,84.4
1376,カネコ種苗,1579,183,11575000,60691000000.0,9487000000.0,1835000000.0,1302000000.0,48932000000.0,26288000000.0,22644000000.0,112.48,18,1.14,14.04,7.1,0.81,123.46,5.7,2.7,46.3,1874,59.1,32582,175.5
1377,サカタのタネ,4765,2115,44385500,73049000000.0,43915000000.0,11182000000.0,12256000000.0,147423000000.0,21958000000.0,125129000000.0,276.13,0,0.0,17.26,5.8,1.69,59.17,9.8,8.3,84.9,4826,100.5,49231,153.9
1379,ホクト,1941,611,31470400,70932000000.0,17392000000.0,2015000000.0,2530000000.0,104933000000.0,50425000000.0,54508000000.0,80.39,0,0.0,24.14,4.1,1.12,89.29,4.6,2.4,51.9,979,60.6,21317,145.8
1380,秋川牧園,1100,46,4169120,6638000000.0,1708000000.0,115000000.0,159000000.0,5593000000.0,3559000000.0,2032000000.0,38.14,0,0.0,28.84,3.5,2.26,44.25,7.8,2.8,36.3,991,47.6,12529,88.4
1381,アクシーズ,3150,177,5615850,21160000000.0,7348000000.0,3373000000.0,2412000000.0,20197000000.0,2870000000.0,17327000000.0,429.5,0,0.0,7.33,13.6,1.02,98.04,13.9,11.9,85.8,16220,113.3,116924,197.7
1382,ホーブ,1604,12,761741,3039000000.0,647000000.0,107000000.0,108000000.0,974000000.0,397000000.0,577000000.0,141.78,0,0.0,11.31,8.8,2.12,47.17,18.7,11.1,59.2,9742,86.7,52219,125.1
1383,ベルグアース,2715,34,1269650,5372000000.0,1331000000.0,-54000000.0,122000000.0,5094000000.0,3850000000.0,1015000000.0,96.09,0,0.0,28.25,3.5,3.4,29.41,12.0,2.4,19.9,836,35.4,7023,61.3
1384,ホクリヨウ,615,52,8458950,13060000000.0,1717000000.0,152000000.0,132000000.0,14252000000.0,5201000000.0,9051000000.0,15.6,0,0.0,39.42,2.5,0.57,175.44,1.5,0.9,63.5,238,67.5,16711,240.4
1400,ルーデン・ホールディングス,125,16,13008400,2527000000.0,767000000.0,-309000000.0,-459000000.0,3008000000.0,677000000.0,2331000000.0,-35.28,0,0.0,-3.54,-28.2,0.7,142.86,0,-15.3,77.5,0,49.3,0,220.4
1401,エムビーエス,519,40,7686000,4030000000.0,1199000000.0,437000000.0,325000000.0,3841000000.0,859000000.0,2982000000.0,42.28,0,0.0,12.28,8.1,1.34,74.63,10.9,8.5,77.6,6851,96.6,63125,163.1
1407,ウエストホールディングス,4360,1773,40657700,67938000000.0,16660000000.0,10149000000.0,6495000000.0,97278000000.0,71947000000.0,25316000000.0,159.75,0,0.0,27.29,3.7,7.0,14.29,25.7,6.7,26.0,2472,55.4,9549,66.0
1414,ショーボンドホールディングス,6000,3216,53601300,80065000000.0,20783000000.0,15733000000.0,11340000000.0,109807000000.0,18848000000.0,90895000000.0,211.56,0,0.0,28.36,3.5,3.54,28.25,12.5,10.3,82.8,3622,98.8,29239,123.6
1417,ミライト・ホールディングス,1634,1640,100384000,470385000000.0,66216000000.0,32805000000.0,25163000000.0,432683000000.0,183447000000.0,242120000000.0,250.67,0,0.0,6.52,15.3,0.68,147.06,10.4,5.8,56.0,8911,81.7,85648,213.5
1418,インターライフホールディングス,167,33,20010400,11794000000.0,2695000000.0,43000000.0,71000000.0,7564000000.0,3647000000.0,3917000000.0,3.55,0,0.0,47.04,2.1,0.85,117.65,1.8,0.9,51.8,196,55.7,10970,171.2
1419,タマホーム,2397,702,29304300,240760000000.0,55258000000.0,11893000000.0,8283000000.0,105077000000.0,74162000000.0,30872000000.0,282.65,0,0.0,8.48,11.8,2.28,43.86,26.8,7.9,29.4,9297,68.0,34558,100.1
1420,サンヨーホームズ,707,78,11047900,51123000000.0,9307000000.0,549000000.0,326000000.0,46886000000.0,31837000000.0,15049000000.0,29.51,0,0.0,23.96,4.2,0.52,192.31,2.2,0.7,32.1,297,38.5,13581,226.6
